Name,Twitter Handle,Total Tweets,Total Retweets,Total followings,Total Followers,User Id,User Verified,User Location,Date of tweet,Tweet id,Tweet Text,Tweet Retweet Status,Tweet Reply To Id
Angels & Outlaws Co,Angelsanoutlaws,1735,0,511,259,3607536013,False,"San Antonio, TX",2016-04-02 22:52:14,716397859046707200,#buildthatwall #RealDonaldTrump #VoteTrump #Trump2016 #TrumpForceOne https//tco/97IhmU66fv,False,
Bennie E,Benelliot3,458,1,138,76,713552572158574592,False,"Missouri, USA",2016-04-02 22:51:48,716397749889970176,Cruz is not only #LynTed hes a thief stealing #Trump delegates Spread the word about this RT #realdonaldtrump https//tco/aROb1mUTBO,False,
Grandmaj,grandmaj2,68654,0,539,1227,567911598,False,,2016-04-02 22:50:47,716397494901411841,Guys if the state GOP in TN is playing games NAME THEM Name Address and phone number and the delegate they selected also #RealDonaldTrump,False,
Bennie E,Benelliot3,458,0,138,76,713552572158574592,False,"Missouri, USA",2016-04-02 22:40:53,716395003010887680,Heidi #Cruz connection w North American UnionWhy #Ted Wont Really Build A WallEXCELLENT VIDEO https//tco/DsNVTrWt1h#realdonaldtrump,False,
Dan Kohrdt,DKohrdt,11742,0,3,124,4541034916,False,,2016-04-02 22:40:35,716394929853972480,Trump About You https//tco/QK2MC9wQjR via @YouTube #realdonaldtrump #VoteTrump2016 #MakeAmericaGreatAgain https//tco/C5DqMWPxqn,False,
Barbara Mallett,Barb4Trump317,173,0,43,29,707039832023900161,False,,2016-04-02 22:40:17,716394851038797824,THE REAL DONALD TRUMP KIDS AWESOME #Trump2016 #realdonaldtrump #MakeAmericaGreatAgain #judgejeanine https//tco/I2Ayhjcb1J,False,
Amanda Jernigan,amandajnmaui,38541,0,2384,1340,48554454,False,"Maui, Hawaii",2016-04-02 22:37:08,716394059657527296,Retweeted American Right Now @amrightnow#veterans Hang On #Vote2016 #realdonaldTrump Help is incoming #maga https//tco/jsk3eYwbEl,False,
sandra,sandra_dutcher,188,0,22,5,3990851235,False,,2016-04-02 22:35:56,716393756228976641,@realDonaldTrump #realdonaldtrump https//tco/aPvg9B8jv6 ,False,25073877
Bennie E,Benelliot3,458,0,138,76,713552572158574592,False,"Missouri, USA",2016-04-02 22:35:32,716393658891669504,Border crisis linked to North American UnionObama PlanWATCH VIDEO https//tco/81WLvShm88 #realdonaldtrump #AmericaFirst #Trump,False,
TellMeLies,TellMeLies2016,2238,1,865,371,709150271050530817,False,,2016-04-02 22:30:36,716392417163943940,RT @Benelliot3 Airline Couldnt Help Sick Jewish ChildDonald #Trump CAME TO THE RESCUEREAD https//tco/lk9x09fNod#realdonaldtrump,False,
